"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","300","5310","HCI/INTERACTION DESIGN","Mitchell,C. Thomas","30","31",""," 3.527"," 2.829","83.9","76.7","10.0","10.0","0.0","2","7","9","7","2","1","0","1","2","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","308","13585","INFORMATION REPRESENTATION","Stark,Roderick B","32","34",""," 3.259"," 2.895","90.6","43.8","43.8","6.3","6.3","2","4","3","7","8","5","1","0","2","0","1","1","0","0","0","2","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","308","7926","INFORMATION REPRESENTATION","Paul,LJ","21","25",""," 2.895"," 3.065","91.3","19.0","66.7","9.5","0.0","5","1","2","1","2","8","4","0","1","1","0","0","0","1","1","2","1","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","308","8246","INFORMATION REPRESENTATION","Richert,Daniel John","25","27",""," 3.428"," 3.052","92","48.0","48.0","4.0","0.0","2","1","7","4","5","5","2","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","390","8553","UNDERGRADUATE INDPT STUDY","Siek,Katie A.","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","391","6129","INTERN INFO PROFESSIONAL PRACT","Hottell,Matthew","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","391","6284","INTERN INFO PROFESSIONAL PRACT","Hottell,Matthew","0","11","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","399","7923","CURRENT TOPICS IN INFORMATICS","Onesti,Nina Soo","25","33",""," 3.732"," 2.730","100","80.0","12.0","8.0","0.0","8","11","9","0","2","0","1","1","0","1","0","0","0","0","1","7","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","400","14458","TOPICS IN INFORMATICS","Dickson,Gary S.","13","15",""," 3.200"," 2.722","92.3","23.1","69.2","7.7","0.0","2","0","1","2","4","4","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","453","7407","COMPUTER & INFORMATION ETHICS","Bull,Iris Rochelle","11","16",""," 3.209"," 2.913","78.6","36.4","45.5","18.2","0.0","5","1","2","1","2","2","1","1","1","0","0","0","0","0","2","2","1","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","453","8516","COMPUTER & INFORMATION ETHICS","Mirowski,Alexander John Daniel","16","16",""," 3.713"," 2.867","87.5","75.0","25.0","0.0","0.0","0","5","4","3","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","491","6132","CAPSTONE PROJECT INTERNSHIP","Hottell,Matthew","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","491","6133","CAPSTONE PROJECT INTERNSHIP","Hottell,Matthew","29","191",""," 3.345"," 3.220","98.9","34.5","65.5","0.0","0.0","162","0","3","7","7","12","0","0","0","0","0","0","0","0","1","1","0","160","0","0","0","0","0","0","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","491","6287","CAPSTONE PROJECT INTERNSHIP","Hottell,Matthew","4","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","491","8219","CAPSTONE PROJECT INTERNSHIP","Hottell,Matthew","0","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","526","13641","APPLIED MACHINE LEARNING","Shanahan,James","32","47",""," 3.559"," 3.768","0","65.6","21.9","12.5","0.0","15","7","12","2","5","2","0","0","4","0","0","0","0","0","6","8","1","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","554","4276","IND ST HUM COMPUTER INTERACTN","Sabanovic,Selma","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","590","8430","TOPICS IN INFORMATICS","Ding,Ying","48","60",""," 3.910"," 3.736","3.8","95.8","0.0","4.2","0.0","12","36","8","2","0","0","0","1","1","0","0","0","0","0","0","7","4","0","0","0","0","0","1","0","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","590","8431","TOPICS IN INFORMATICS","Malbasa,Vel","30","34",""," 3.807"," 3.708","3.3","90.0","6.7","3.3","0.0","4","19","4","4","0","1","1","0","0","1","0","0","0","0","0","4","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","590","8432","TOPICS IN INFORMATICS","Ding,Ying","39","44",""," 3.956"," 3.803","7.5","94.9","5.1","0.0","0.0","5","33","4","0","1","1","0","0","0","0","0","0","0","0","1","4","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","1","Regular Academic Session","INFO","INFO-I","590","8433","TOPICS IN INFORMATICS","Ahn,Yong Yeol","49","55",""," 3.796"," 3.810","2","91.8","6.1","0.0","0.0","7","0","32","13","3","0","0","0","0","0","0","0","0","1","0","6","0","0","0","0","0","0","0","0","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","698","5449","RESEARCH IN INFORMATICS","Sabanovic,Selma","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","699","5173","INDEPENDENT STUDY-INFORMATICS","Sabanovic,Selma","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","699","5177","INDEPENDENT STUDY-INFORMATICS","Sabanovic,Selma","2","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","699","5444","INDEPENDENT STUDY-INFORMATICS","Sabanovic,Selma","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","699","5450","INDEPENDENT STUDY-INFORMATICS","Sabanovic,Selma","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","790","5388","INFORMATICS RESEARCH ROTATION","Sabanovic,Selma","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W1","Six Week - First","INFO","INFO-I","790","5445","INFORMATICS RESEARCH ROTATION","Sabanovic,Selma","1","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","798","5178","PROFESSIONAL PRACT/INTERNSHIP","Sabanovic,Selma","0","13","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","798","5452","PROFESSIONAL PRACT/INTERNSHIP","Sabanovic,Selma","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","890","5179","THESIS READINGS AND RESEARCH","Sabanovic,Selma","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SU18","4185","6W2","Six Week - Second","INFO","INFO-I","890","5418","THESIS READINGS AND RESEARCH","Sabanovic,Selma","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-07-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-G","901","6080","ADVANCED RESEARCH","Siegel,Martin A","6","27",""," 4.000"," 3.872","96.3","100.0","0.0","0.0","0.0","21","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","101","6553","INTRODUCTION TO INFORMATICS","Onesti,Nina Soo","26","36",""," 3.154"," 2.919","3.3","50.0","34.6","3.8","3.8","12","0","9","4","5","2","2","0","1","0","1","0","0","2","4","6","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","101","7030","INTRODUCTION TO INFORMATICS","Onesti,Nina Soo","279","315",""," 3.454"," 2.964","0.7","69.9","20.1","5.7","1.1","45","13","106","76","24","13","19","8","4","4","3","0","0","9","21","14","0","0","1","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","101","8496","INTRODUCTION TO INFORMATICS","Onesti,Nina Soo","225","259",""," 3.356"," 2.957","1.3","64.0","22.7","5.8","4.9","40","8","86","50","22","17","12","3","5","5","7","3","1","6","15","19","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","8W1","Eight Week - First","INFO","INFO-I","130","11029","INTRODUCTION TO CYBERSECURITY","Duncan,J","42","60",""," 3.652"," 3.056","68.2","81.0","11.9","2.4","2.4","19","26","4","4","2","2","1","0","1","0","1","0","0","1","2","16","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","8W2","Eight Week - Second","INFO","INFO-I","130","5632","INTRODUCTION TO CYBERSECURITY","Duncan,J","46","64",""," 3.591"," 2.922","55.1","73.9","19.6","4.3","0.0","19","19","10","5","1","5","3","1","1","0","0","0","0","1","2","15","1","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","201","10593","MATH FOUNDATNS OF INFORMATICS","Stark,Roderick B","59","64",""," 3.242"," 3.150","80","50.8","30.5","13.6","1.7","7","5","18","7","8","5","5","6","1","1","0","1","0","2","1","4","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","201","11147","MATH FOUNDATNS OF INFORMATICS","Ongwere,Tom","59","66",""," 2.969"," 2.950","63.9","33.9","45.8","11.9","3.4","10","1","10","9","6","15","6","3","3","1","1","1","0","3","2","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","201","3011","MATH FOUNDATNS OF INFORMATICS","Milojevic,Stasa","60","67",""," 3.040"," 3.104","78.1","38.3","33.3","25.0","1.7","8","3","16","4","7","7","6","6","4","5","0","1","0","1","4","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","201","6557","MATH FOUNDATNS OF INFORMATICS","Stark,Roderick B","57","63",""," 3.098"," 3.103","80","33.3","47.4","15.8","1.8","7","5","8","6","10","8","9","6","3","0","1","0","0","1","3","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","201","9726","MATH FOUNDATNS OF INFORMATICS","Flammini,Alessandro","56","62",""," 3.234"," 3.112","76.7","44.6","42.9","7.1","3.6","7","9","7","9","10","8","6","2","1","1","1","1","0","1","4","2","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","202","30179","SOCIAL INFORMATICS","Terrell,Jennifer Anne","104","110",""," 3.045"," 2.998","43.8","45.2","33.7","12.5","3.8","11","11","14","22","12","15","8","3","6","4","0","2","2","5","1","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","202","30181","SOCIAL INFORMATICS","Sabanovic,Selma","102","108",""," 2.893"," 3.038","45.3","33.3","39.2","18.6","2.0","13","6","13","15","13","18","9","12","3","4","0","2","0","7","3","2","1","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","202","9730","SOCIAL INFORMATICS","Terrell,Jennifer Anne","102","109",""," 3.237"," 3.050","69.5","48.0","39.2","6.9","2.0","11","6","23","20","17","18","5","2","4","1","1","1","0","4","3","4","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","210","11158","INFORMATION INFRASTRUCTURE I","Bollen,Johan L.","56","66",""," 3.246"," 2.836","88.5","51.8","30.4","14.3","0.0","12","8","12","9","8","4","5","4","2","2","0","0","0","2","1","5","4","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","210","3013","INFORMATION INFRASTRUCTURE I","Demarest,Bradford Finch","56","62",""," 3.141"," 3.138","91.7","55.4","23.2","12.5","1.8","10","9","15","7","4","6","3","2","3","2","0","0","1","4","0","2","4","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","210","6564","INFORMATION INFRASTRUCTURE I","Duncan,J","75","78",""," 3.471"," 3.153","89.3","57.3","36.0","4.0","1.3","4","17","18","8","12","10","5","2","1","0","0","1","0","1","0","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","210","9734","INFORMATION INFRASTRUCTURE I","Pierz,Daniel Matthew","59","65",""," 3.392"," 2.976","86.7","54.2","35.6","8.5","0.0","7","12","9","11","7","12","2","3","2","0","0","0","0","1","1","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","211","10988","INFORMATION INFRASTRUCTURE II","Lee,Erika Biga","48","50",""," 3.125"," 3.019","89.8","56.3","14.6","18.8","6.3","4","11","10","6","3","2","2","4","4","1","2","1","0","2","1","1","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","211","11211","INFORMATION INFRASTRUCTURE II","Pierz,Daniel Matthew","18","22",""," 3.578"," 2.968","80","72.2","16.7","11.1","0.0","4","8","1","4","0","3","0","2","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","211","11680","INFORMATION INFRASTRUCTURE II","Demarest,Bradford Finch","65","68",""," 3.645"," 3.239","93.8","76.9","13.8","9.2","0.0","3","19","22","9","3","4","2","3","1","2","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","211","3017","INFORMATION INFRASTRUCTURE II","Lee,Erika Biga","54","56",""," 3.313"," 3.101","85.2","63.0","18.5","13.0","1.9","4","13","11","10","2","6","2","3","3","1","1","0","0","2","0","2","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","211","6057","INFORMATION INFRASTRUCTURE II","Pierz,Daniel Matthew","62","67",""," 3.823"," 3.210","93.8","85.5","11.3","3.2","0.0","5","19","29","5","3","4","0","2","0","0","0","0","0","0","2","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","230","13945","ANALYTICAL FOUNDTN OF SECURITY","Seiffert,Kurt A","55","69",""," 2.738"," 2.970","80.9","20.0","50.9","16.4","7.3","17","1","6","4","10","11","7","4","5","0","1","1","2","3","10","1","3","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","231","30035","INTRO:MATH OF CYBERSECURITY","Henry,Ryan","42","47",""," 2.514"," 3.152","91.1","11.9","52.4","26.2","0.0","9","1","3","1","1","9","12","6","3","2","0","0","0","4","3","2","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","300","10465","HCI/INTERACTION DESIGN","Mitchell,C. Thomas","23","27",""," 3.391"," 2.976","73.1","60.9","26.1","8.7","0.0","5","8","4","2","3","2","1","1","0","1","0","0","0","1","3","1","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","300","11173","HCI/INTERACTION DESIGN","Kannabiran,Gopinaath","69","74",""," 3.299"," 2.935","88.6","73.9","8.7","1.4","8.7","10","21","21","9","2","4","0","0","1","0","2","1","3","5","1","4","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","300","11214","HCI/INTERACTION DESIGN","Kannabiran,Gopinaath","56","60",""," 3.552"," 2.986","86","76.8","14.3","3.6","1.8","6","17","17","9","3","4","1","1","0","1","0","1","0","2","1","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","300","14147","HCI/INTERACTION DESIGN","Zai,Joanna Lynn","87","95",""," 3.440"," 3.132","90","69.0","17.2","9.2","1.1","11","31","16","13","6","4","5","5","2","1","0","0","1","3","3","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","300","3020","HCI/INTERACTION DESIGN","Siegel,Martin A","86","93",""," 3.806"," 3.086","90.9","89.5","7.0","2.3","0.0","8","19","47","11","3","3","0","0","1","1","0","0","0","1","2","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","303","9737","ORGANIZATIONAL INFORMATICS","Paul,LJ","98","111",""," 3.228"," 3.047","94.9","48.0","32.7","17.3","1.0","14","6","23","18","13","11","8","6","8","3","1","0","0","1","1","12","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","308","10969","INFORMATION REPRESENTATION","Richert,Daniel John","55","61",""," 3.567"," 3.275","91.1","65.5","29.1","5.5","0.0","6","5","15","16","10","5","1","1","2","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","308","14144","INFORMATION REPRESENTATION","Richert,Daniel John","55","60",""," 3.200"," 3.246","94.6","49.1","34.5","12.7","0.0","7","1","14","12","6","7","6","3","3","1","0","0","0","2","1","4","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","308","3021","INFORMATION REPRESENTATION","Stark,Roderick B","55","59",""," 2.925"," 2.971","96.4","34.5","45.5","10.9","0.0","9","0","9","10","10","8","7","3","0","3","0","0","0","5","1","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","308","7814","INFORMATION REPRESENTATION","Stark,Roderick B","53","57",""," 3.172"," 3.065","92.9","43.4","43.4","9.4","1.9","5","0","10","13","3","13","7","4","1","0","0","1","0","1","3","1","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","308","9740","INFORMATION REPRESENTATION","Paul,LJ","55","59",""," 3.255"," 3.249","91.1","50.9","36.4","5.5","1.8","7","1","14","13","13","5","2","2","1","0","0","1","0","3","1","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","310","6756","MULTIMEDIA ARTS AND TECHNOLOGY","Zai,Joanna Lynn","98","116",""," 3.706"," 3.114","93.1","87.8","6.1","1.0","1.0","22","54","22","10","5","1","0","0","1","0","0","0","1","4","3","15","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","360","29946","WEB DESIGN","Lee,Erika Biga","44","53",""," 3.320"," 3.200","84.4","54.5","27.3","15.9","2.3","9","9","8","7","4","6","2","3","3","1","0","1","0","0","0","8","0","0","1","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","369","33966","PERFORMANCE ANALYTICS","Radicchi,Filippo","50","59",""," 3.838"," 3.301","92","88.0","12.0","0.0","0.0","9","13","19","12","5","1","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","390","13013","UNDERGRADUATE INDPT STUDY","Siek,Katie A.","19","20",""," 3.805"," 3.285","95","84.2","10.5","5.3","0.0","1","2","14","0","0","2","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","391","4641","INTERN INFO PROFESSIONAL PRACT","Hottell,Matthew","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","391","7962","INTERN INFO PROFESSIONAL PRACT","Hottell,Matthew","113","122",""," 3.913"," 3.402","76.3","92.9","7.1","0.0","0.0","9","0","94","11","5","3","0","0","0","0","0","0","0","0","3","4","2","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","8W1","Eight Week - First","INFO","INFO-I","399","10817","CURRENT TOPICS IN INFORMATICS","Onesti,Nina Soo","40","52",""," 3.903"," 3.287","97.5","100.0","0.0","0.0","0.0","12","5","22","13","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","399","10926","CURRENT TOPICS IN INFORMATICS","Connelly,Katherine Hane","32","43",""," 3.084"," 3.167","91.4","37.5","40.6","18.8","0.0","12","5","3","4","4","7","2","2","3","1","0","0","0","1","0","8","3","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","8W2","Eight Week - Second","INFO","INFO-I","399","12971","CURRENT TOPICS IN INFORMATICS","Richert,Daniel John","41","50",""," 3.807"," 3.200","97.7","82.9","17.1","0.0","0.0","9","22","6","6","5","0","2","0","0","0","0","0","0","0","2","7","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","399","14417","CURRENT TOPICS IN INFORMATICS","Demarest,Bradford Finch","28","34",""," 3.957"," 3.431","96.6","100.0","0.0","0.0","0.0","6","14","10","4","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","400","11890","TOPICS IN INFORMATICS","Brown,Travis Jason","28","37",""," 3.532"," 3.212","89.3","53.6","42.9","3.6","0.0","9","4","7","4","7","4","1","1","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","400","12257","TOPICS IN INFORMATICS","Francisco,Matthew","24","32",""," 3.892"," 3.326","100","95.8","0.0","4.2","0.0","8","18","2","3","0","0","0","1","0","0","0","0","0","0","1","7","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","400","12372","TOPICS IN INFORMATICS","Sherman,William R","34","48",""," 3.665"," 3.192","89.7","64.7","35.3","0.0","0.0","14","5","13","4","7","4","1","0","0","0","0","0","0","0","3","9","1","0","1","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","400","13020","TOPICS IN INFORMATICS","Chabin,Michael S","24","28",""," 3.917"," 3.283","92","95.8","0.0","4.2","0.0","4","7","16","0","0","0","0","0","1","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-08-2018"
"SP18","4182","1","Regular Academic Session","INFO","INFO-I","400","13032","TOPICS IN INFORMATICS","Ryoo,Michael S.","1","11","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-08-2018"
